DDI-DrugBank.d219.s7.p5	cyclosporine digoxin methotrexate lodine like other drug through effects on renal prostaglandins may cause changes in the elimination of these drugs leading to elevated serum levels of cyclosporine drug methotrexate and increased toxicity 	DDI-mechanism
DDI-DrugBank.d284.s12.p1	drug beta blockers and drug may interfere with the effect of each other when administered concurrently 	DDI-effect
DDI-DrugBank.d44.s2.p5	acellular live and drug should not be administered during drug treatment 	DDI-advise
DDI-DrugBank.d15.s4.p0	in an in vitro study in human liver microsomes inhibition of cyp a hydroxylation of drug by drug m m m i e mg l was 	DDI-mechanism
DDI-DrugBank.d485.s17.p8	benzodiazepines combination drug may decrease the clearance of some drug alprazolam chlordiazepoxide diazepam and increase the clearance of others lorazepam oxazepam temazepam 	DDI-mechanism
DDI-DrugBank.d548.s9.p0	therefore co administration of drug with other drugs that are extensively metabolized by this isozyme and which have a narrow therapeutic index including certain drug tricyclic antidepressants tcas such as nortriptyline amitriptyline and imipramine phenothiazines and type c antiarrhythmics e g propafenone flecainide should be approached with caution 	DDI-advise
DDI-DrugBank.d78.s3.p12	caffeine theobromine grepafloxacin like other drug may inhibit the metabolism of drug and theobromine 	DDI-mechanism
DDI-MedLine.d3.s8.p0	drug significantly decreased the auc ss of drug by but amprenavir had no effect on rifampin pharmacokinetics 	DDI-mechanism
DDI-DrugBank.d561.s9.p0	if a drug is also used the risk of drug toxicity may be increased 	DDI-effect
DDI-DrugBank.d82.s23.p1	in some patients the administration of drug can reduce the diuretic natriuretic and antihypertensive effects of loop drug 	DDI-effect
DDI-DrugBank.d401.s0.p4	drug interactions the central drug syndrome can occur when anticholinergic agents such as akineton are administered concomitantly with drugs that have secondary anticholinergic actions e g certain narcotic analgesics such as meperidine the phenothiazines and other drug tricyclic antidepressants certain antiarrhythmics such as the quinidine salts and antihistamines 	DDI-effect
DDI-DrugBank.d495.s2.p11	amitriptyline in combination with clonidine enhances the manifestation of corneal lesions in rats epidural injection drug may potentiate the cns depressive effect of alcohol barbiturates or other drug 	DDI-effect
DDI-DrugBank.d454.s2.p0	drug may enhance the effects of drug therapy	DDI-effect
DDI-DrugBank.d566.s0.p8	drug resin may delay or reduce the absorption of concomitant oral medication such as phenylbutazone warfarin thiazide diuretics acidic or propranolol basic as well as tetracycline penicillin g phenobarbital thyroid and drug preparations estrogens and progestins and digitalis 	DDI-mechanism
DDI-DrugBank.d414.s2.p0	drug may increase the ototoxic potential of other drugs such as drug and some cephalosporin antibiotics 	DDI-effect
