DDI-DrugBank.d643.s0.p5	@DRUG$ may interact with the following drugs: aspirin and other NSAIDs (may lower melatonin levels), fluvoxamine (bioavailability of oral melatonin is increased with coadministration), @DRUG$ (may decrease melatonin levels), fluoxetine (reports of psychotic episodes when coadministered), progestin (coadministration of melatonin with progestin can inhibit ovarian function in women), benzodiazepenes and other sedating drugs (may result in additive sedation and an increased incidence of adverse effects), and corticosteroids (coadministration of melatonin and corticosteroids may interfere with the efficacy of the corticosteroids).	DDI-int
DDI-DrugBank.d599.s7.p3	These data suggest that @DRUG$ administration may alter the clearance of compounds known to be metabolized by CP450 liver enzymes (e.g., corticosteroids, sex steroids, anticonvulsants, @DRUG$).	DDI-mechanism
DDI-DrugBank.d761.s13.p0	Therefore, as @DRUG$ absorption may be decreased with @DRUG$, patients on chronic stable doses of warfarin who are prescribed XENICAL should be monitored closely for changes in coagulation parameters.	DDI-mechanism
DDI-MedLine.d194.s16.p0	Studies with forced expression and siRNA knockdown of Bcl-2 and Cdk1 suggest that @DRUG$-mediated induction of p27(Kip1) enhanced @DRUG$-induced apoptosis by negatively regulating Bcl-2 and Cdk1 expression.	DDI-effect
DDI-DrugBank.d776.s23.p0	The combined use of @DRUG$ at doses of 400 mg or greater with @DRUG$ is contraindicated.	DDI-advise
DDI-DrugBank.d783.s0.p2	@DRUG$ inhibits some of the liver's ability to metabolize some other drugs - terfenadine, astemizole, @DRUG$, cyclosporine, and tricyclic antidepressants.	DDI-mechanism
DDI-DrugBank.d700.s0.p5	Antacids: Absorption of a single dose of @DRUG$ was decreased when administered to 12 stable renal transplant patients also taking @DRUG$-aluminum containing antacids (30 mL): the mean Cmax and AUC(0-t) values for MPA were 25% and 37% lower, respectively, than when Myfortic was administered alone under fasting conditions.	DDI-mechanism
DDI-DrugBank.d616.s1.p0	Caution should be exercised when administering @DRUG$ therapy in combination with other @DRUG$.	DDI-advise
DDI-DrugBank.d639.s2.p5	Co-administration of @DRUG$ with inducers of the CYP3A4 family (e.g., dexamethasone, phenytoin, carbamazepine, rifampin, rifabutin, @DRUG$, phenobarbital, St. Johns Wort) may decrease sunitinib concentrations.	DDI-mechanism
DDI-DrugBank.d709.s3.p3	Although such a reaction has not been demonstrated with roxithromycin, concomitant administration of @DRUG$ with @DRUG$ or astemizole is not recommended.	DDI-advise
DDI-DrugBank.d783.s0.p3	@DRUG$ inhibits some of the liver's ability to metabolize some other drugs - terfenadine, astemizole, cisapride, @DRUG$, and tricyclic antidepressants.	DDI-mechanism
DDI-DrugBank.d596.s9.p14	Use with Cholinomimetics and Other Cholinesterase Inhibitors: A synergistic effect may be expected when @DRUG$ are given concurrently with succinylcholine, similar neuromuscular blocking agents or cholinergic agonists such as @DRUG$.	DDI-effect
DDI-DrugBank.d775.s10.p2	Other drugs which may enhance the neuromuscular blocking action of @DRUG$ such as MIVACRON include certain antibiotics (e.g., @DRUG$, tetracyclines, bacitracin, polymyxins, lincomycin, clindamycin, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthetics, procainamide, and quinidine.	DDI-int
DDI-DrugBank.d728.s2.p0	Increases of @DRUG$ plasma concentrations by approximately 20% have been observed with doses of 130 mg/m2 @DRUG$ dosed every 3 weeks.	DDI-mechanism
DDI-DrugBank.d655.s0.p21	@DRUG$ may interact with antidepressants (tricyclic type), MAO inhibitors (e.g., phenelzine, linezolid, tranylcypromine, isocarboxazid, selegiline, furazolidone), quinidine, amantadine, antihistamines (e.g., diphenhydramine), other anticholinergics, potassium chloride supplements, antacids, absorbent-type anti-diarrhea medicines (e.g., kaolin-pectin), phenothiazines (e.g., chlorpromazine, @DRUG$).	DDI-int
DDI-MedLine.d179.s6.p0	Although single or concurrent use of @DRUG$ and @DRUG$ has some anti-proliferative effects, the sequential administrations of both drugs remarkably enhanced anti-tumor activity.	DDI-effect
