DDI-DrugBank.d219.s7.p5	Cyclosporine, Digoxin, Methotrexate Lodine, like other @DRUG$, through effects on renal prostaglandins, may cause changes in the elimination of these drugs leading to elevated serum levels of cyclosporine, @DRUG$, methotrexate, and increased toxicity.	DDI-mechanism
DDI-DrugBank.d284.s12.p1	@DRUG$ (beta-blockers) and @DRUG$ may interfere with the effect of each other when administered concurrently.	DDI-effect
DDI-DrugBank.d44.s2.p5	Acellular, live and @DRUG$ should not be administered during @DRUG$ treatment.	DDI-advise
DDI-DrugBank.d15.s4.p0	In an in vitro study in human liver microsomes, inhibition of CYP2A6 hydroxylation of @DRUG$ by @DRUG$ (200 m m M i.e., 350 mg/L) was 17-28%.	DDI-mechanism
DDI-DrugBank.d485.s17.p8	Benzodiazepines: Combination @DRUG$ may decrease the clearance of some @DRUG$ (alprazolam, chlordiazepoxide, diazepam) and increase the clearance of others (lorazepam, oxazepam, temazepam).	DDI-mechanism
DDI-DrugBank.d548.s9.p0	Therefore, co-administration of @DRUG$ with other drugs that are extensively metabolized by this isozyme and which have a narrow therapeutic index, including certain @DRUG$ (tricyclic antidepressants [TCAs], such as nortriptyline, amitriptyline, and imipramine), phenothiazines and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution.	DDI-advise
DDI-DrugBank.d78.s3.p12	Caffeine Theobromine Grepafloxacin, like other @DRUG$, may inhibit the metabolism of @DRUG$ and theobromine.	DDI-mechanism
DDI-MedLine.d3.s8.p0	@DRUG$ significantly decreased the AUC(ss) of @DRUG$ by 82%, but amprenavir had no effect on rifampin pharmacokinetics.	DDI-mechanism
DDI-DrugBank.d561.s9.p0	If a @DRUG$ is also used, the risk of @DRUG$ toxicity may be increased.	DDI-effect
DDI-DrugBank.d82.s23.p1	In some patients, the administration of @DRUG$ can reduce the diuretic, natriuretic, and antihypertensive effects of loop, @DRUG$.	DDI-effect
DDI-DrugBank.d401.s0.p4	Drug Interactions: The central @DRUG$ syndrome can occur when anticholinergic agents such as AKINETON are administered concomitantly with drugs that have secondary anticholinergic actions, e.g., certain narcotic analgesics such as meperidine, the phenothiazines and other @DRUG$, tricyclic antidepressants, certain antiarrhythmics such as the quinidine salts, and antihistamines.	DDI-effect
DDI-DrugBank.d495.s2.p11	Amitriptyline in combination with clonidine enhances the manifestation of corneal lesions in rats Epidural Injection @DRUG$ may potentiate the CNS-depressive effect of alcohol, barbiturates or other @DRUG$.	DDI-effect
DDI-DrugBank.d454.s2.p0	- @DRUG$ may enhance the effects of @DRUG$ therapy	DDI-effect
